901,7.9,3054,http://www.imdb.com/title/tt09543/?ref_=fn_tt_tt_1,34,8620
902,7.1,1238,http://www.imdb.com/title/tt94908/?ref_=fn_tt_tt_1,5666,47122
903,6.8,994,http://www.imdb.com/title/tt37971/?ref_=fn_tt_tt_1,77746,27586
904,8.5,2701,http://www.imdb.com/title/tt34583/?ref_=fn_tt_tt_1,22000,1144337
905,6.6,738,http://www.imdb.com/title/tt40172/?ref_=fn_tt_tt_1,4444,212204
906,6.2,1902,http://www.imdb.com/title/tt41330/?ref_=fn_tt_tt_1,5674,383056
907,7.8,387,http://www.imdb.com/title/tt39826/?ref_=fn_tt_tt_1,15,294810
908,7.5,1117,http://www.imdb.com/title/tt39542/?ref_=fn_tt_tt_1,786,462669
909,7.5,973,http://www.imdb.com/title/tt41774/?ref_=fn_tt_tt_1,282,321795
910,6.9,3018,http://www.imdb.com/title/tt97559/?ref_=fn_tt_tt_1,53,371639
911,6.1,2367,http://www.imdb.com/title/tt34815/?ref_=fn_tt_tt_1,98,240396
912,6.7,1243,http://www.imdb.com/title/tt83051/?ref_=fn_tt_tt_1,395,330784
913,7.3,1832,http://www.imdb.com/title/tt38357/?ref_=fn_tt_tt_1,563,522040
914,6.5,711,http://www.imdb.com/title/tt21081/?ref_=fn_tt_tt_1,563,181792
915,7.2,2536,http://www.imdb.com/title/tt77082/?ref_=fn_tt_tt_1,7900,548573
916,6.6,438,http://www.imdb.com/title/tt49944/?ref_=fn_tt_tt_1,80,149922
917,8.1,1722,http://www.imdb.com/title/tt84822/?ref_=fn_tt_tt_1,877,995415
918,6.7,484,http://www.imdb.com/title/tt29865/?ref_=fn_tt_tt_1,252,7070
919,7.9,3054,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,345,886204
920,7.1,1238,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,563,471220
921,6.8,994,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,225,275868
922,8.5,2701,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,22000,1144337
923,6.6,738,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,475,212204
924,6.2,1902,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,6799,383056
925,7.8,387,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,15,294810
926,7.5,1117,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,44533,462669
927,7.5,973,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,282,321795
928,6.9,3018,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,5689,371639
929,6.1,2367,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,5577,240396
930,6.7,1243,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,395,330784
931,7.3,1832,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,563,522040
932,6.5,711,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,563,181792
933,7.2,2536,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,4443,548573
934,6.6,438,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,444,149922
935,8.1,1722,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,7896,995415
936,6.7,484,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,252,370704